"HTS Number","COMMODITIES","IMPORT"
"04081900","Egg yolks, other than dried, whether or not containing added sweeteners","1,936,056"
"04089900","Birds' eggs, not in shell, other than dried, whether or not containing added sweeteners","451,765"
"04090000","Natural honey","959,896"
"04100000","Edible products of animal origin, nesi","4,158,213"
"05010000","Human hair, unworked, whether or not washed and scoured; waste of human hair","256,088"
"05021000","Pigs', hogs' or boars' bristles and hair and waste thereof","8,954,577"
"05029000","Badger hair and other brushmaking hair, nesi, and waste thereof","133,105"
"05040000","Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof","150,195,095"
"05051000","Feathers of a kind used for stuffing, and down","113,911,144"
"05059020","Feather meal and waste","23,400"
"05059060","Skins and parts of birds with their feathers or down (except meal and waste) nesoi","203,032"
"05061000","Ossein and bones treated with acid","146,670"
"05069000","Bones & horn-cores, unworked, defatted, simply prepared (but not cut to shape) or degelatinized; powder & waste of these products","178,580"
"05079000","Tortoise shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared; waste and powder","84,610"
"05080000","Coral, shells, cuttlebone and similar materials, unworked or simply prepared, but not cut to shape; powder and waste thereof","2,206,373"
"05100040","Cantharides; bile; glands and other animal products nesi, used in pharmaceutical products","69,076"
"05119100","Products of fish, crustaceans, molluscs or other aquatic invertebrates nesi; dead animals of chapter 3, unfit for human consumption","5,098,247"
"05119920","Parings and similar waste of raw hides or skins; glue stock nesi","66,225,943"
"05119930","Animal products chiefly used as food for animals or as ingredients in such food, nesi","87,621,918"
"05119933","Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material","2,577,237"
"05119936","Natural sponges of animal origin","106,894"
"05119940","Animal products nesi; dead animals of chapter 1, unfit for human consumption","5,222,499"
"07031020","Onion sets, fresh or chilled","19,518"
"07031040","Onions, other than onion sets or pearl onions not over 16 mm in diameter, and shallots, fresh or chilled","2,885,609"
"07032000","Garlic, fresh or chilled","124,687,315"
"07041020","Cauliflower and headed broccoli, fresh or chilled, if entered June 5 to October 15, inclusive, in any year","59,957"
"07041060","Cauliflower and headed broccoli, fresh or chilled, reduced in size, if entered Oct. 16 through June 4, inclusive","46,069"
"07069020","Radishes, fresh or chilled","66,340"
"07069040","Salsify, celeriac, radishes and similar edible roots nesi, fresh or chilled","503,607"
"07082090","Beans nesi, fresh or chilled, shelled or unshelled","97,775"
"07089040","Leguminous vegetables nesi, fresh or chilled, shelled or unshelled","97,601"
"07094020","Celery, other than celeriac, fresh or chilled, reduced in size","3,829"
"07095101","Mushrooms of the genus Agaricus, fresh or chilled","3,935,659"
"07095910","Truffles, fresh or chilled","98,685"
"07095990","Mushrooms, other than of the genus Agaricus, fresh or chilled","5,103,705"
"07096020","Chili peppers, fresh or chilled","22,113"
"07099914","Okra, fresh or chilled","0"
"07099945","Sweet corn, fresh or chilled","0"
"07099990","Vegetables, not elsewhere specified or included, fresh or chilled","1,752,117"
"07101000","Potatoes, uncooked or cooked by steaming or boiling in water, frozen","138,586"
"07102120","Peas, uncooked or cooked by steaming or boiling in water, frozen, if entered July 1 through September 30, inclusive, in any year","1,819,946"
"07102140","Peas, uncooked or cooked by steaming or boiling in water, frozen, if entered Jan. 1 through June 30, or Oct. 1 through Dec. 31, inclusive","2,422,933"
"07102215","Lima beans, frozen, entered June 1 - October 31","27,750"
"07102220","Cowpeas (other than black-eye peas), uncooked or cooked by steaming or boiling in water, frozen, not reduced in size","23,940"
"07102225","Frozen string beans (snap beans), not reduced in size","588,622"
"07102237","Frozen beans nesi, not reduced in size","4,850,975"
"07102240","Beans nesi, uncooked or cooked by steaming or boiling in water, frozen, reduced in size","76,537"
"07102925","Pigeon peas, uncooked or cooked by steaming or boiling in water, frozen, if entered July 1 through September 30, inclusive, in any year","6,120"
"07102930","Pigeon peas, uncooked or cooked by steaming or boiling in water, frozen, if entered Oct. 1 through the following June 30, inclusive","12,546"
"07102940","Leguminous vegetables nesi, uncooked or cooked by steaming or boiling in water, frozen","6,816,895"
"07103000","Spinach, New Zealand spinach and orache spinach (garden spinach), uncooked or cooked by steaming or boiling in water, frozen","14,008,563"
"07104000","Sweet corn, uncooked or cooked by steaming or boiling in water, frozen","1,499,208"
"07108015","Bamboo shoots and water chestnuts (other than Chinese water chestnuts), uncooked or cooked by steaming or boiling in water, frozen","2,519,822"
"07108020","Mushrooms, uncooked or cooked by steaming or boiling in water, frozen","2,512,565"
"07108040","Tomatoes, uncooked or cooked by steaming or boiling in water, frozen, if entered Mar. 1 thru July 14, incl. or Sept. 1 thru Nov. 14, incl.","8,366"
"07108050","Tomatoes, uncooked or cooked by steaming or boiling in water, frozen, if entered Nov. 15 through the following February, incl.","2,476"
"07108065","Brussels sprouts, uncooked or cooked by steaming or boiling in water, frozen, not reduced in size","9,642"
"07108070","Vegetables nesi, uncooked or cooked by steaming or boiling in water, frozen, not reduced in size","4,188,704"
"07108093","Okra, reduced in size, frozen","30,587"
"07108097","Vegetables nesi, uncooked or cooked by steaming or boiling in water, frozen, reduced in size","27,735,311"
"07109011","Mixtures of pea pods and water chestnuts (other than Chinese water chestnuts), uncooked or cooked by steaming or boiling in water, frozen","4,802"
"07109091","Mixtures of vegetables not elsewhere specified or included, uncooked or cooked by steaming or boiling in water, frozen","9,096,957"
"07115910","Mushrooms, other than of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption","11,055"
"07119020","Leguminous vegetables, provisionally preserved but unsuitable in that state for immediate consumption","35,939"
"07119065","Vegetables nesoi, and mixtures of vegetables, provisionally preserved but unsuitable in that state for immediate consumption","549,632"
"07122020","Dried onion powder or flour","1,233,291"
"07122040","Dried onions whole, cut, sliced or broken, but not further prepared","5,485,603"
"07123110","Air dried or sun dried mushrooms of the genus Agaricus, whole, cut, sliced, broken or in powder, but not further prepared","6,642,312"
"07123120","Dried (not air or sun dried) mushrooms of the genus Agaricus, whole, cut, sliced, broken or in powder, but not further prepared","606,770"
"07123200","Dried wood ears (Auricularia spp.), whole, cut, sliced, broken or in powder, but not further prepared","1,250,365"
"07123300","Dried jelly fungi (Tremella spp), whole, cut, sliced, broken or in powder, but not further prepared","228,618"
"07123910","Air dried or sun dried mushrooms (other than of the genus Agaricus), whole, cut, sliced, broken or in powder, but not further prepared","10,790,948"
"07123920","Dried (not air or sun dried) mushrooms (other than of the genus Agaricus), whole, cut, sliced, broken or in powder, but not further prepared","2,599,839"
"07123940","Dried truffles, whole, cut, sliced, broken or in powder, but not further prepared","252,003"
"07129010","Dried carrots, whole, cut, sliced, broken or in powder, but not further prepared","13,208,420"
"07129030","Dried potatoes, whether or not cut or sliced but not further prepared","216,349"
"07129040","Dried garlic, whole, cut, sliced, broken or in powder, but not further prepared","93,038,501"
"07129065","Dried parsley nesi, whole, cut, sliced, broken or in powder, but not further prepared","12,270"
"07129070","Dried fennel, marjoram, savory and tarragon nesi, whole, cut, sliced, broken or in powder, but not further prepared","153,979"
"07129074","Tomatoes, dried in powder","659,279"
"07129078","Tomatoes, dried, whole, other","2,753,656"
"07129085","Dried vegetables nesoi, and mixtures of dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared","38,048,832"
"07131010","Seeds of peas of a kind used for sowing","67,549"
"07131020","Dried split peas, shelled","23,520"
"07131040","Dried peas, nesi, shelled","1,601,299"
"07132020","Dried chickpeas (garbanzos), shelled","138,240"
"07133110","Seeds of beans of a kind used for sowing","6,235,955"
"07133120","Dried beans, shelled, if entered May 1 through August 31, inclusive, in any year","3,794,975"
"07133140","Dried beans, shelled, if entered September 1 through the following April 30, or withdrawn for consumption at any time","9,000,374"
"07133210","Seeds of small red (adzuki) beans of a kind used for sowing","115,701"
"07133220","Dried small red (adzuki) beans, shelled","2,617,187"
"07133310","Seeds of kidney beans, including white pea beans of a kind used for sowing","43,443"
"07133320","Dried kidney beans, including white pea beans, shelled, if entered May 1 through August 31, inclusive, in any year","3,099,034"
"07133340","Dried kidney beans, including white pea beans, shelled, if entered Sept. 1 through April 30, or withdrawn for consumption at any time","4,117,266"
"07133420","Dried Bambara beans, shelled, if entered for consumption from May 1 through August 31, inclusive, in any year","3,151"
"07133440","Dried Bambara beans, shelled, if entered for consumption other than above period, or withdrawn for consumption","36,138"
"07133500","Dried cowpeas, shelled","133,050"
"07133911","Seeds of beans nesi, of a kind used for sowing","3,324"
"07133921","Dried beans nesi, shelled, if entered for consumption from May 1 through August 31, inclusive, in any year","1,556,556"
"07133941","Dried beans nesi, shelled, if entered for consumption September 1 through April 30, or withdrawn for consumption at any time","2,731,309"
"07134020","Dried lentils, shelled","30,377"
"07135020","Dried broad beans and horse beans, shelled","242,263"
"07139011","Seeds of leguminous vegetables nesi, of a kind used for sowing","2,115"
"07139061","Dried leguminous vegetables nesi, shelled, if entered for consumption during the period from May 1 through August 31, inclusive, in any year","2,175"
"07141020","Cassava (manioc), fresh, chilled or dried, whether or not sliced or in the form of pellets","2,401"
"07142020","Sweet potatoes, fresh, chilled or dried, whether or not sliced or in the form of pellets","1,232,001"
"07143010","Fresh or chilled yams (Dioscorea spp.), whether or not sliced or in the form of pellets","2,347,103"
"07143020","Frozen yams (Dioscorea spp.)","171,808"
"07143060","Dried yams (Dioscorea spp.), whether or not sliced but not in pellets","29,896"
"07144010","Fresh or chilled taro (Colocasia spp.), whether or not sliced or in the form of pellets","2,174,421"
"07144020","Frozen taro (Colocasia spp.)","115,092"
"07144060","Dried taro (Colocasia spp.), whether or not sliced but not in pellets","10,362"
"07149005","Chinese water chestnuts, fresh or chilled","4,063"
"07149039","Fresh or chilled arrowroot/salep/Jerusalem artichokes/similar roots & tubers, nesi","370,651"
"07149044","Chinese water chestnuts, not mixed, frozen","6,249,802"
"07149046","Frozen dasheens/arrowroot/salep/Jerusalem artichokes/similar roots & tubers, nesi","200,963"
"07149051","Dried dasheens, arrowroot, salep, Jerusalem artichokes and similar roots and tubers nesoi, in the form of pellets","3,100"
"07149061","Dried dasheens, arrowroot, salep, Jerusalem artichokes, and similar roots and tubers nesoi, whether or not sliced but not in pellets","316,349"
"08011100","Coconuts, desiccated","16,074"
"08011901","Coconuts, fresh, not in the inner shell (endocarp)","23,745"
"08013200","Cashew nuts, fresh or dried, shelled","2,185,918"
