name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party
Nydia Velazquez,3.2865707434052758,14.816546762589928,2741,12357,834,New York,07,Democratic
Omar Navarro,827.0970556161396,1769.4656488549617,758448,1622600,917,California,43,Republican
Patrick McHenry,0.8717948717948718,2.2051282051282053,34,86,39,North Carolina,10,Republican
Paul Davis,12.50383631713555,35.02046035805627,4889,13693,391,Kansas,02,Democratic
Paul Dilks,0.43478260869565216,1.0,70,161,161,New Jersey,01,Republican
Paul Theobald,5.6996699669967,9.613861386138614,1727,2913,303,Nebraska,03,Democratic
Paul Tonko,0.6186224489795918,1.1122448979591837,485,872,784,New York,20,Democratic
Paul Walker,7.0,14.546666666666667,525,1091,75,Kentucky,01,Democratic
Pearl Kim,2.585526315789474,10.901315789473685,393,1657,152,Pennsylvania,05,Republican
Perry Gershon,13.385796545105567,39.27831094049904,6974,20464,521,New York,01,Democratic
Pete Aguilar,2.6666666666666665,10.0,8,30,3,California,31,Democratic
Pete Olson,0.8781725888324873,2.6091370558375635,173,514,197,Texas,22,Republican
Pete Sessions,1.261111111111111,2.2111111111111112,227,398,180,Texas,32,Republican
Pete Stauber,17.65989847715736,44.86548223350254,6958,17677,394,Minnesota,08,Republican
Peter DeFazio,2.3333333333333335,7.0,7,21,3,Oregon,04,Democratic
Peter Joffrion,22.19402985074627,45.005330490405115,20818,42215,938,Alabama,05,Democratic
Peter King,9.0,22.75,144,364,16,New York,02,Republican
Peter Tedeschi,1.6582278481012658,4.561181434599156,393,1081,237,Massachusetts,09,Republican
Peter Visclosky,2.0,4.75,8,19,4,Indiana,01,Democratic
Peter Welch,2.0714285714285716,11.607142857142858,58,325,28,Vermont,00,Democratic
Peter Yu,1.875,7.775,75,311,40,Colorado,02,Republican
Phillip Aronoff,1.5054945054945055,3.4615384615384617,137,315,91,Texas,29,Republican
Phillip Price,20.336569579288025,35.6294498381877,12568,22019,618,North Carolina,11,Democratic
Pramila Jayapal,29.186904761904763,101.18928571428572,24517,84999,840,Washington,07,Democratic
Raja Krishnamoorthi,3.5,13.5,7,27,2,Illinois,08,Democratic
Ralph Abraham,1.962962962962963,6.62962962962963,53,179,27,Louisiana,05,Republican
Randy Bryce,1201.30175210902,3171.8799480856587,1851206,4887867,1541,Wisconsin,01,Democratic
Randy Hultgren,2.076923076923077,2.1538461538461537,27,28,13,Illinois,14,Republican
Randy Wadkins,16.810650887573964,20.402366863905325,2841,3448,169,Mississippi,01,Democratic
Randy Weber,0.782608695652174,2.130434782608696,18,49,23,Texas,14,Republican
Rashida Tlaib,30.727436823104693,168.91335740072202,17023,93578,554,Michigan,13,Democratic
Raul Grijalva,3.361842105263158,6.6951754385964914,1533,3053,456,Arizona,03,Democratic
Raul Ruiz,3.0,4.0,3,4,1,California,36,Democratic
Renee Hoagenson,49.42959001782531,83.63725490196079,55460,93841,1122,Missouri,04,Democratic
Renee Hoyos,4.678403755868545,15.530516431924882,1993,6616,426,Tennessee,02,Democratic
Renee Zeno,7.974874371859296,30.959798994974875,1587,6161,199,New York,26,Republican
Richard Hudson,1.2,4.95,24,99,20,North Carolina,08,Republican
Richard Ojeda,21.279153534443942,86.67807294011706,47261,192512,2221,West Virginia,03,Democratic
Richmond Davis,0.7466666666666667,1.0933333333333333,56,82,75,Maryland,07,Republican
Rick Allen,2.0,2.4166666666666665,24,29,12,Georgia,12,Republican
Rick Crawford,2.238095238095238,4.976190476190476,94,209,42,Arkansas,01,Republican
Rick Green,2.720720720720721,7.0225225225225225,604,1559,222,Massachusetts,03,Republican
Rick Kennedy,5.1648148148148145,10.088888888888889,2789,5448,540,Texas,17,Democratic
Rick Larsen,0.659217877094972,2.2681564245810057,118,406,179,Washington,02,Democratic
Rick Neal,12.036511156186613,28.886409736308316,5934,14241,493,Ohio,15,Democratic
Ro Khanna,118.10603290676417,308.3217550274223,323020,843260,2735,California,17,Democratic
Rob Anderson,1.325242718446602,3.5485436893203883,273,731,206,Louisiana,03,Democratic
Rob Bishop,1.6842105263157894,4.842105263157895,32,92,19,Utah,01,Republican
Rob Davidson,27.615468409586057,77.80936819172113,25351,71429,918,Michigan,02,Democratic
Rob Wittman,1.9702970297029703,3.405940594059406,199,344,101,Virginia,01,Republican
Robert Kennedy Jr.,14.382716049382717,21.59567901234568,4660,6997,324,Alabama,01,Democratic
Rod Blum,2.3815789473684212,6.052631578947368,181,460,76,Iowa,01,Republican
Rodney Davis,3.473684210526316,7.7105263157894735,132,293,38,Illinois,13,Republican
Roger Allison,13.602173913043478,21.997826086956522,6257,10119,460,North Carolina,01,Republican
Roger Marshall,5.717299578059071,16.628691983122362,2710,7882,474,Kansas,01,Republican
Roger Williams,1.1044776119402986,3.2686567164179103,74,219,67,Texas,25,Republican
Ron Bassilian,3.1887287024901703,7.720401922236785,7299,17672,2289,California,37,Republican
Ron Estes,2.173076923076923,6.115384615384615,113,318,52,Kansas,04,Republican
Ronald DiNicola,11.37984496124031,19.751937984496124,1468,2548,129,Pennsylvania,16,Democratic
Ronald Wright,3.725806451612903,9.85483870967742,231,611,62,Texas,06,Republican
Rosa DeLauro,4.344827586206897,16.370689655172413,504,1899,116,Connecticut,03,Democratic
Ross Spano,1.3636363636363635,5.161616161616162,135,511,99,Florida,15,Republican
Ruben Gallego,144.78134556574923,597.3180428134557,94687,390646,654,Arizona,07,Democratic
Rudy Peters,5.09065934065934,7.458791208791209,1853,2715,364,California,15,Republican
Russ Fulcher,2.207547169811321,6.566037735849057,234,696,106,Idaho,01,Republican
Ryan McAdams,1.2916666666666667,3.09375,124,297,96,Virginia,04,Republican
