name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party,abbreviation,district_key
Brian Mast,16.857142857142858,43.35714285714285,236,607,14,Florida,18,Republican,FL,FL-18
Bruce Poliquin,9.333333333333334,23.5,112,282,12,Maine,02,Republican,ME,ME-02
Bruce Westerman,0.554945054945055,2.5824175824175826,101,470,182,Arkansas,04,Republican,AR,AR-04
Bryan Leib,0.5630733944954128,2.853211009174312,982,4976,1744,Pennsylvania,03,Republican,PA,PA-03
Bryan Steil,2.175059952038369,10.585131894484412,907,4414,417,Wisconsin,01,Republican,WI,WI-01
Bryan Witt,6.144796380090496,14.294117647058822,1358,3159,221,California,27,Democratic,CA,CA-27
Cam Cavasso,2.0769230769230766,2.8461538461538463,27,37,13,Hawaii,01,Republican,HI,HI-01
Candius Stearns,2.2098765432098766,7.216049382716049,358,1169,162,Michigan,09,Republican,MI,MI-09
Carlos Curbelo,13.415441176470587,34.492647058823536,7298,18764,544,Florida,26,Republican,FL,FL-26
Carol Miller,9.959016393442624,19.9344262295082,1215,2432,122,West Virginia,03,Republican,WV,WV-03
Carolyn Bourdeaux,55.72,89.03384615384616,36218,57872,650,Georgia,07,Democratic,GA,GA-07
Carolyn Long,23.302486187845307,51.80110497237569,16871,37504,724,Washington,03,Democratic,WA,WA-03
Carolyn Maloney,62.14545454545455,122.5050505050505,30762,60640,495,New York,12,Democratic,NY,NY-12
Casper Stockham,1.7894736842105263,8.709382151029747,782,3806,437,Colorado,01,Republican,CO,CO-01
Catherine Krantz,2.769881556683587,4.959390862944162,1637,2931,591,Texas,04,Democratic,TX,TX-04
Cathy Albro,3.0795454545454546,11.022727272727273,271,970,88,Michigan,03,Democratic,MI,MI-03
Cathy McMorris Rodgers,2.453488372093023,8.906976744186048,844,3064,344,Washington,05,Republican,WA,WA-05
Cedric Richmond,2.5,9.788461538461537,130,509,52,Louisiana,02,Democratic,LA,LA-02
Charles Fleischmann,0.9836065573770492,4.0163934426229515,60,245,61,Tennessee,03,Republican,TN,TN-03
Charlie Crist,14.66326530612245,69.78571428571429,1437,6839,98,Florida,13,Democratic,FL,FL-13
Charlotte Bergmann,12.921725239616613,16.457667731629392,16178,20605,1252,Tennessee,09,Republican,TN,TN-09
Cheri Bustos,6.807017543859649,20.350877192982455,776,2320,114,Illinois,17,Democratic,IL,IL-17
Chintan Desai,9.765753424657532,22.424657534246574,7129,16370,730,Arkansas,01,Democratic,AR,AR-01
Chip Roy,6.289638932496076,17.277864992150707,8013,22012,1274,Texas,21,Republican,TX,TX-21
Chris Collins,5.258064516129032,16.774193548387096,163,520,31,New York,27,Republican,NY,NY-27
Chris Hunter,13.46056782334385,27.99369085173501,4267,8874,317,Florida,12,Democratic,FL,FL-12
Chris Pappas,9.834454912516824,27.47106325706595,7307,20411,743,New Hampshire,01,Democratic,NH,NH-01
Chris Peters,0.7317073170731707,3.1463414634146343,60,258,82,Iowa,02,Republican,IA,IA-02
Chris Stewart,1.4038461538461535,4.346153846153847,146,452,104,Utah,02,Republican,UT,UT-02
Chrissy Houlahan,49.79552715654952,145.69009584664536,15586,45601,313,Pennsylvania,06,Democratic,PA,PA-06
Christian Valiente,1.21875,2.614583333333333,117,251,96,California,35,Republican,CA,CA-35
Christine Brown,15.175141242937851,30.084745762711865,2686,5325,177,Washington,04,Democratic,WA,WA-04
Christopher DePizzo,2.3865546218487395,6.651260504201682,1136,3166,476,Ohio,13,Republican,OH,OH-13
Chuck Enderlin,3.207612456747405,5.698961937716263,1854,3294,578,Georgia,03,Democratic,GA,GA-03
Cindy Axne,12.015625,30.71354166666667,4614,11794,384,Iowa,03,Democratic,IA,IA-03
Clarke Tucker,13.5247311827957,45.529032258064525,6289,21171,465,Arkansas,02,Democratic,AR,AR-02
Claudia Tenney,7.7784810126582276,21.104430379746834,2458,6669,316,New York,22,Republican,NY,NY-22
Clay Higgins,3.5,6.5,14,26,4,Louisiana,03,Republican,LA,LA-03
Clint Koble,4.889570552147238,7.975460122699388,797,1300,163,Nevada,02,Democratic,NV,NV-02
Colin Allred,28.7723292469352,90.72154115586692,16429,51802,571,Texas,32,Democratic,TX,TX-32
Collin Peterson,6.421052631578947,17.789473684210527,122,338,19,Minnesota,07,Democratic,MN,MN-07
Conor Lamb,1005.7311827956987,2804.903225806452,280599,782568,279,Pennsylvania,17,Democratic,PA,PA-17
Cort VanOstran,16.561448900388097,54.382923673997404,12802,42038,773,Missouri,02,Democratic,MO,MO-02
Courtney Tritch,8.42962962962963,20.479629629629628,4552,11059,540,Indiana,03,Democratic,IN,IN-03
Craig Cameron,2.9230769230769234,7.9230769230769225,38,103,13,Illinois,07,Republican,IL,IL-07
Cresent Hardy,3.533333333333333,12.013333333333335,265,901,75,Nevada,04,Republican,NV,NV-04
Dan David,1.3532338308457712,3.3582089552238807,272,675,201,Pennsylvania,04,Republican,PA,PA-04
Dan DeBono,104.12814070351759,247.35175879396985,41443,98446,398,New York,03,Republican,NY,NY-03
Dan Feehan,20.257294429708224,57.89655172413793,7637,21827,377,Minnesota,01,Democratic,MN,MN-01
Dan Kildee,12.309859154929578,36.697183098591545,1748,5211,142,Michigan,05,Democratic,MI,MI-05
Dan Kohl,15.480978260869565,26.77173913043478,5697,9852,368,Wisconsin,06,Democratic,WI,WI-06
Dan McCready,30.276470588235288,85.67647058823529,10294,29130,340,North Carolina,09,Democratic,NC,NC-09
Dan Meuser,1.0546623794212218,4.163987138263666,328,1295,311,Pennsylvania,09,Republican,PA,PA-09
Dan Wood,8.0,15.290322580645164,1488,2844,186,Texas,05,Democratic,TX,TX-05
Dana Balter,12.982000000000001,35.8,6491,17900,500,New York,24,Democratic,NY,NY-24
Dana Rohrabacher,52.92156862745098,120.05882352941177,2699,6123,51,California,48,Republican,CA,CA-48
Daniel Crenshaw,30.983870967741932,98.04838709677419,7684,24316,248,Texas,02,Republican,TX,TX-02
